locus_id	isoform	p-value-1	p-value-2	p-value_lowest
SNOO_038470	SNOO_038470A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_597830	SNOO_597830_1	0.4038461538461552	0.3296703296703253	0.3296703296703253
SNOO_088420	SNOO_088420A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_120670	SNOO_120670A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_120670	SNOO_120670A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_158960	SNOO_158960A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_158960	SNOO_158960A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_509910	SNOO_509910_1	0.3671328671328668	0.0599400599400595	0.0599400599400595
SNOO_611660	SNOO_611660_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_303110	SNOO_303110A_2	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_097140	SNOO_097140A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_161070	SNOO_161070A_1	0.3671328671328668	0.2097902097902099	0.2097902097902099
SNOO_307040	SNOO_307040A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_043300	SNOO_043300A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_043300	SNOO_043300A_3	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_519540	SNOO_519540_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_082060	SNOO_082060A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_572430	SNOO_572430_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_628390	SNOO_628390_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_580580	SNOO_580580_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_618210	SNOO_618210_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_411030	SNOO_411030A_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_162030	SNOO_162030A_1	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_117270	SNOO_117270A_1	0.1223776223776225	0.2797202797202817	0.1223776223776225
SNOO_020890	SNOO_020890A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_020890	SNOO_020890A_3	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_020730	SNOO_020730A_3	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_438900	SNOO_438900A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_509940	SNOO_509940_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_407830	SNOO_407830A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_046070	SNOO_046070A_1	0.0353730231895614	0.3296703296703253	0.0353730231895614
SNOO_134810	SNOO_134810A_1	0.4038461538461552	0.0565968371032989	0.0565968371032989
SNOO_031540	SNOO_031540A_3	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_433520	SNOO_433520A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_041590	SNOO_041590A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_419710	SNOO_419710A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_149370	SNOO_149370A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_041130	SNOO_041130A_1	0.1223776223776225	0.4195804195804207	0.1223776223776225
SNOO_446660	SNOO_446660A_1	0.4038461538461552	0.3296703296703253	0.3296703296703253
SNOO_130050	SNOO_130050A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_136250	SNOO_136250A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_020900	SNOO_020900A_2	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_434170	SNOO_434170A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_434170	SNOO_434170A_2	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_140000	SNOO_140000A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_140000	SNOO_140000A_2	0.4079254079254084	0.1118881118881117	0.1118881118881117
SNOO_414090	SNOO_414090A_1	0.5384615384615398	0.5274725274725256	0.5274725274725256
SNOO_062100	SNOO_062100A_1	0.4038461538461552	0.4615384615384615	0.4038461538461552
SNOO_052740	SNOO_052740A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_304020	SNOO_304020A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_029200	SNOO_029200A_1	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_029200	SNOO_029200A_2	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_163460	SNOO_163460A_2	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_029670	SNOO_029670A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_070830	SNOO_070830A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_049930	SNOO_049930A_1	0.4038461538461523	0.3296703296703253	0.3296703296703253
SNOO_008170	SNOO_008170A_1	0.4038461538461523	0.3296703296703253	0.3296703296703253
SNOO_060390	SNOO_060390A_1	0.5384615384615398	0.0606394683249629	0.0606394683249629
SNOO_306770	SNOO_306770A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
